x,y
-20.0,-400.0
-19.99959999599996,-399.9840000000017
-19.99919999199992,-399.9680003200096
-19.99879998799988,-399.95200096002407
-19.99839998399984,-399.93600192004476
-19.9979999799998,-399.920003200072
-19.99759997599976,-399.90400480010555
-19.99719997199972,-399.8880067201456
-19.99679996799968,-399.8720089601921
-19.99639996399964,-399.8560115202448
-19.9959999599996,-399.840014400304
-19.99559995599956,-399.8240176003696
-19.99519995199952,-399.80802112044165
-19.99479994799948,-399.79202496051994
-19.99439994399944,-399.7760291206048
-19.9939999399994,-399.7600336006961
-19.99359993599936,-399.7440384007936
-19.99319993199932,-399.72804352089764
-19.99279992799928,-399.71204896100795
-19.99239992399924,-399.6960547211248
-19.9919999199992,-399.680060801248
-19.99159991599916,-399.66406720137763
-19.99119991199912,-399.6480739215137
-19.99079990799908,-399.632080961656
-19.99039990399904,-399.61608832180485
-19.989999899999,-399.60009600195997
-19.98959989599896,-399.58410400212165
-19.98919989199892,-399.56811232228955
-19.98879988799888,-399.552120962464
-19.98839988399884,-399.5361299226449
-19.9879998799988,-399.520139202832
-19.98759987599876,-399.50414880302566
-19.98719987199872,-399.4881587232256
-19.98679986799868,-399.47216896343207
-19.98639986399864,-399.4561795236448
-19.9859998599986,-399.44019040386405
-19.98559985599856,-399.4242016040897
-19.98519985199852,-399.40821312432166
-19.98479984799848,-399.3922249645601
-19.98439984399844,-399.37623712480485
-19.9839998399984,-399.3602496050561
-19.98359983599836,-399.3442624053136
-19.98319983199832,-399.3282755255777
-19.98279982799828,-399.31228896584815
-19.98239982399824,-399.29630272612485
-19.9819998199982,-399.2803168064081
-19.98159981599816,-399.26433120669765
-19.98119981199812,-399.24834592699375
-19.98079980799808,-399.2323609672961
-19.98039980399804,-399.2163763276049
-19.979999799998,-399.2003920079202
-19.97959979599796,-399.1844080082417
-19.97919979199792,-399.16842432856976
-19.97879978799788,-399.1524409689041
-19.97839978399784,-399.13645792924495
-19.9779997799978,-399.1204752095921
-19.97759977599776,-399.1044928099457
-19.97719977199772,-399.0885107303058
-19.97679976799768,-399.0725289706721
-19.97639976399764,-399.056547531045
-19.9759997599976,-399.04056641142415
-19.97559975599756,-399.0245856118098
-19.97519975199752,-399.0086051322017
-19.97479974799748,-398.9926249726002
-19.97439974399744,-398.97664513300504
-19.9739997399974,-398.96066561341615
-19.97359973599736,-398.94468641383384
-19.97319973199732,-398.9287075342578
-19.97279972799728,-398.91272897468826
-19.97239972399724,-398.89675073512495
-19.9719997199972,-398.8807728155682
-19.97159971599716,-398.8647952160179
-19.97119971199712,-398.84881793647384
-19.97079970799708,-398.83284097693627
-19.97039970399704,-398.81686433740504
-19.969999699997,-398.8008880178803
-19.96959969599696,-398.7849120183618
-19.96919969199692,-398.76893633884987
-19.96879968799688,-398.7529609793443
-19.96839968399684,-398.73698593984506
-19.9679996799968,-398.72101122035235
-19.96759967599676,-398.70503682086587
-19.96719967199672,-398.68906274138595
-19.96679966799668,-398.67308898191226
-19.96639966399664,-398.6571155424451
-19.9659996599966,-398.6411424229844
-19.96559965599656,-398.6251696235299
-19.96519965199652,-398.609197144082
-19.96479964799648,-398.5932249846403
-19.96439964399644,-398.5772531452052
-19.9639996399964,-398.5612816257763
-19.96359963599636,-398.545310426354
-19.96319963199632,-398.52933954693805
-19.96279962799628,-398.5133689875284
-19.96239962399624,-398.49739874812525
-19.9619996199962,-398.4814288287284
-19.96159961599616,-398.4654592293381
-19.96119961199612,-398.449489949954
-19.96079960799608,-398.4335209905765
-19.96039960399604,-398.4175523512053
-19.959999599996,-398.40158403184046
-19.95959959599596,-398.3856160324821
-19.95919959199592,-398.36964835313006
-19.95879958799588,-398.3536809937845
-19.95839958399584,-398.33771395444523
-19.9579995799958,-398.3217472351125
-19.95759957599576,-398.3057808357862
-19.95719957199572,-398.2898147564661
-19.95679956799568,-398.2738489971526
-19.95639956399564,-398.25788355784533
-19.9559995599956,-398.2419184385446
-19.95559955599556,-398.2259536392501
-19.95519955199552,-398.2099891599622
-19.95479954799548,-398.19402500068065
-19.95439954399544,-398.1780611614054
-19.9539995399954,-398.16209764213664
-19.95359953599536,-398.1461344428742
-19.95319953199532,-398.13017156361826
-19.95279952799528,-398.1142090043686
-19.95239952399524,-398.09824676512545
-19.9519995199952,-398.08228484588875
-19.95159951599516,-398.06632324665827
-19.95119951199512,-398.05036196743436
-19.95079950799508,-398.03440100821666
-19.95039950399504,-398.01844036900553
-19.949999499995,-398.0024800498007
-19.94959949599496,-397.98652005060234
-19.94919949199492,-397.97056037141044
-19.94879948799488,-397.95460101222477
-19.94839948399484,-397.9386419730456
-19.9479994799948,-397.9226832538728
-19.94759947599476,-397.90672485470645
-19.94719947199472,-397.89076677554635
-19.94679946799468,-397.8748090163928
-19.94639946399464,-397.85885157724573
-19.9459994599946,-397.84289445810487
-19.94559945599456,-397.8269376589705
-19.94519945199452,-397.81098117984243
-19.94479944799448,-397.7950250207209
-19.94439944399444,-397.7790691816057
-19.9439994399944,-397.76311366249695
-19.94359943599436,-397.7471584633946
-19.94319943199432,-397.73120358429856
-19.94279942799428,-397.715249025209
-19.94239942399424,-397.69929478612573
-19.9419994199942,-397.683340867049
-19.94159941599416,-397.66738726797854
-19.94119941199412,-397.6514339889146
-19.94079940799408,-397.6354810298571
-19.94039940399404,-397.61952839080584
-19.939999399994,-397.6035760717611
-19.93959939599396,-397.58762407272263
-19.93919939199392,-397.57167239369073
-19.93879938799388,-397.55572103466505
-19.93839938399384,-397.53976999564594
-19.9379993799938,-397.5238192766332
-19.93759937599376,-397.5078688776267
-19.93719937199372,-397.49191879862684
-19.93679936799368,-397.4759690396331
-19.93639936399364,-397.46001960064604
-19.9359993599936,-397.44407048166516
-19.93559935599356,-397.42812168269086
-19.93519935199352,-397.4121732037229
-19.93479934799348,-397.39622504476125
-19.93439934399344,-397.3802772058061
-19.9339993399934,-397.3643296868573
-19.93359933599336,-397.34838248791493
-19.93319933199332,-397.33243560897887
-19.93279932799328,-397.31648905004937
-19.93239932399324,-397.3005428111262
-19.9319993199932,-397.2845968922094
-19.93159931599316,-397.26865129329906
-19.93119931199312,-397.25270601439496
-19.93079930799308,-397.2367610554974
